time;fps;minFps;maxFps;generateChunk;staticRenderRegion;staticRenderRegion2;chunkLoad;lightMapUpdate;lightMapUpdate2;gpuBlockIDMapUpdate;gcCollect
0;0;0;0;0;0;0;0;0;0;0;0
2.01722;57;10;93;0;272;274;570;68;69;564;3
3.15721;46;5;78;0;161;158;725;40;39;659;2
4.17272;35;4;73;0;175;178;681;44;45;744;1
5.18678;45;3;74;0;217;214;627;54;53;562;1
6.19431;47;10;71;0;243;246;830;61;62;895;0
7.2;23;2;68;0;132;132;505;33;33;505;1
8.2027;63;50;71;0;328;328;141;82;82;157;0
9.20536;62;52;68;0;335;334;0;84;83;0;0
10.2065;60;53;66;0;329;328;0;82;82;0;0
11.2086;60;51;64;0;320;322;0;80;81;0;0
12.2219;60;52;64;0;294;294;0;74;74;0;0
13.2347;59;52;62;0;310;310;0;77;77;0;0
14.2461;58;49;62;0;318;318;0;80;79;0;0
15.2477;57;50;62;0;326;324;0;81;81;0;0
16.2533;57;52;59;0;318;320;0;80;80;0;0
17.2553;56;50;60;0;312;312;0;78;78;0;0
18.2565;55;50;59;0;321;320;0;80;80;0;0
19.2607;55;50;58;0;319;320;0;80;80;0;0
20.274;55;46;56;0;328;328;0;82;82;0;0
21.2876;54;49;56;0;316;316;0;79;79;0;0
22.3041;54;49;57;0;318;318;0;79;80;0;0
23.3115;53;47;55;0;314;314;0;79;78;0;0
24.3124;52;47;54;0;312;312;0;78;78;0;0
25.3223;52;48;53;0;310;310;0;77;78;0;0
26.3349;48;44;51;0;284;284;0;71;71;0;0
27.357;17;2;47;0;98;98;0;25;24;0;1
28.3639;49;44;51;0;294;294;0;73;74;0;0
29.3763;51;47;52;0;306;306;0;77;76;0;0
30.3771;38;6;52;0;225;224;0;56;56;0;0
31.3805;50;47;51;0;299;300;0;75;75;0;0
32.3895;50;46;51;0;300;300;0;75;75;0;0
33.4043;50;46;51;0;297;297;0;74;75;0;0
34.412;47;44;50;0;281;281;0;70;70;0;0
35.4146;43;40;45;0;258;258;0;65;64;0;0
36.428;44;39;46;0;264;264;0;66;66;0;0
37.4448;47;44;48;0;283;283;0;70;71;0;0
38.449;48;44;50;0;287;287;0;72;72;0;0
39.4586;48;44;49;0;289;289;0;72;72;0;0
40.4724;48;44;49;0;287;287;0;72;72;0;0
41.4748;44;39;47;0;264;264;0;66;66;0;0
42.4912;41;36;42;0;240;240;0;60;60;0;0
43.5092;44;40;45;0;264;264;0;66;66;0;0
44.5241;46;43;47;0;276;276;0;69;69;0;0
45.5451;47;44;48;0;282;282;0;71;70;0;0
46.5624;47;42;47;0;282;282;0;70;71;0;0
47.5745;46;43;47;0;277;277;0;69;69;0;0
48.5777;45;42;46;0;269;269;0;68;67;0;0
49.5837;41;37;44;0;246;246;0;61;62;0;0
50.5927;40;37;41;0;240;240;0;60;60;0;0
51.6048;43;40;44;0;258;258;0;65;64;0;0
52.625;45;41;45;0;270;270;0;67;68;0;0
53.6432;45;40;46;0;270;270;0;68;67;0;0
54.6505;45;42;45;0;270;270;0;67;68;0;0
55.6589;44;41;45;0;265;265;0;66;66;0;0
56.6631;39;34;43;0;233;233;0;59;58;0;0
57.6827;38;34;38;0;228;228;0;57;57;0;0
58.7022;41;36;41;0;246;246;0;61;62;0;0
59.7034;42;39;43;0;252;252;0;63;63;0;0
60.7064;44;41;45;0;264;264;0;66;66;0;0
61.7228;44;32;45;0;264;264;0;66;66;0;0
62.8315;21;1;45;0;124;124;0;31;31;0;1
63.8491;41;9;45;0;198;198;0;50;50;0;0
64.8561;45;43;45;0;0;0;0;0;0;0;0
65.8581;45;43;45;0;0;0;0;0;0;0;0
66.8644;42;38;43;0;0;0;0;0;0;0;0
67.8876;39;35;39;0;0;0;0;0;0;0;0
68.894;41;39;42;0;0;0;0;0;0;0;0
69.8999;43;40;44;0;0;0;0;0;0;0;0
70.9085;44;39;47;0;126;126;67;31;31;67;0
71.928;43;35;45;0;250;250;201;62;61;201;0
72.9504;42;37;44;0;244;244;201;61;61;201;0
73.9767;39;34;40;0;226;226;134;57;58;134;0
74.9838;33;29;35;0;192;192;201;48;48;201;0
75.9853;34;30;36;0;202;202;193;50;50;168;0
77.1622;22;1;39;0;129;122;193;32;31;83;1
78.1713;34;6;47;0;191;198;121;49;49;230;0
79.1757;50;44;53;0;294;291;229;73;72;247;0
80.194;55;45;56;0;318;321;134;80;81;142;0
81.1955;53;48;56;0;316;316;201;79;79;201;0
82.1957;48;42;52;0;270;269;134;67;68;134;0
83.1996;51;43;54;0;290;291;201;73;72;201;0
84.2822;17;1;57;0;97;97;197;23;24;197;1
85.2972;57;30;61;0;340;340;204;85;85;204;0
86.2995;60;54;63;0;345;345;68;87;87;68;0
87.3002;59;47;62;0;347;347;237;86;86;221;0
88.306;59;48;62;0;335;335;184;85;84;200;0
89.3105;53;43;59;0;304;304;182;76;76;182;0
90.3199;48;41;52;0;242;242;121;60;61;121;0
91.6549;33;1;53;0;183;180;213;45;44;213;1
92.6578;48;9;60;0;283;286;224;72;72;224;0
93.6592;57;46;60;0;334;334;200;83;84;200;0
94.6726;58;49;61;0;346;346;199;85;85;192;0
95.6852;58;52;61;0;331;331;114;84;84;121;0
96.6952;52;45;57;0;289;289;133;73;72;133;0
97.7136;51;44;53;0;286;286;0;71;72;0;0
98.7146;53;46;56;0;312;312;0;78;78;0;0
99.7227;55;48;58;0;326;326;0;82;81;0;0
101.07;37;1;57;0;223;220;0;55;55;0;1
102.078;42;7;57;0;245;248;0;62;62;0;0
103.096;55;49;58;0;330;330;0;82;83;0;0
104.109;54;48;56;0;324;324;0;81;81;0;0
105.117;50;44;53;0;296;296;0;74;74;0;0
106.129;44;39;47;0;256;256;0;64;64;0;0
107.133;44;39;47;0;258;258;0;65;64;0;0
108.143;48;44;49;0;288;288;0;72;72;0;0
109.157;51;46;52;0;307;307;0;76;77;0;0
110.173;52;45;53;0;313;313;0;79;78;0;0
111.18;51;47;53;0;306;306;0;76;77;0;0
112.181;47;42;51;0;282;282;0;71;70;0;0
113.193;42;37;44;0;252;252;0;63;63;0;0
114.209;45;41;46;0;270;270;0;67;68;0;0
115.218;47;41;48;0;282;282;0;71;70;0;0
116.219;49;45;51;0;294;294;0;73;74;0;0
117.233;50;47;51;0;300;300;0;75;75;0;0
118.24;49;45;50;0;294;294;0;74;73;0;0
119.254;46;41;48;0;276;276;0;69;69;0;0
120.258;41;37;42;0;246;246;0;61;62;0;0
121.261;44;39;46;0;264;264;0;66;66;0;0
122.279;47;43;48;0;282;282;0;71;70;0;0
123.291;49;45;49;0;76;76;0;19;20;0;0
124.305;50;46;50;0;0;0;0;0;0;0;0
125.323;50;46;49;0;0;0;0;0;0;0;0
126.334;45;40;47;0;0;0;0;0;0;0;0
127.348;43;39;43;0;0;0;0;0;0;0;0
128.361;46;43;46;0;0;0;0;0;0;0;0
129.362;48;46;48;0;0;0;0;0;0;0;0
130.365;49;48;49;0;0;0;0;0;0;0;0
131.373;50;48;50;0;0;0;0;0;0;0;0
