time;fps;minFps;maxFps;ram;vram;activeChunks;generateChunk;staticRenderRegion;staticRenderRegion2;chunkLoad;lightMapUpdate;lightMapUpdate2;gpuBlockIDMapUpdate;gcCollect
0;0;0;0;1;782;0;0;0;0;0;0;0;0;0;
2.02356;56;27;64;31;837;43;66;14;0;0;3;0;0;1;
3.03167;47;19;64;50;878;183;72;89;108;140;23;27;142;0;
4.04436;49;22;61;66;910;241;68;42;40;58;10;10;56;1;
5.04938;48;22;61;85;930;312;70;36;32;71;9;7;35;0;
6.06461;45;22;59;102;976;392;67;119;120;80;30;30;110;0;
7.08979;44;20;57;121;992;439;71;90;95;47;23;24;56;0;
8.11565;44;14;57;137;1002;531;67;39;41;92;10;11;85;1;
9.13068;43;24;57;155;1010;592;70;79;77;61;19;19;62;0;
10.133;43;29;56;173;1018;658;69;64;63;66;16;16;52;0;
11.1417;42;20;56;191;1028;726;69;84;84;68;21;21;86;0;
12.1484;43;23;56;209;1038;802;68;72;73;76;18;18;64;0;
13.1542;43;28;55;226;1044;874;68;60;62;72;15;15;50;0;
14.1574;38;19;55;244;1086;936;69;125;123;62;31;31;81;0;
15.1595;37;23;77;263;1132;1011;70;144;138;75;36;34;88;0;
16.292;38;5;54;277;1144;1083;70;83;91;71;21;23;36;1;
17.3144;36;7;53;293;1178;1128;61;36;33;46;9;8;79;0;
18.3367;41;27;52;311;1192;1185;69;28;26;57;7;7;50;0;
19.3547;38;21;53;330;1246;1285;72;87;92;100;22;23;110;0;
20.3548;37;20;52;348;1272;1355;69;70;66;70;18;16;67;0;
21.3638;36;25;50;367;1278;1424;71;100;104;69;25;26;56;0;
22.3792;39;25;51;384;1284;1453;67;51;38;29;12;10;48;0;
23.3844;37;25;51;402;1294;1526;70;48;53;73;12;13;73;0;
24.3884;36;22;50;421;1306;1614;71;74;71;88;19;18;88;0;
25.399;36;18;50;439;1325;1673;71;47;53;59;12;13;49;0;
26.4102;37;24;49;458;1333;1766;70;35;38;93;8;10;57;0;
27.4277;37;21;49;476;1347;1846;71;50;52;80;13;13;123;0;
28.455;38;27;49;495;1347;1846;71;15;13;0;3;3;3;0;
29.559;35;7;49;517;1363;1998;84;33;34;152;9;9;117;0;
30.5613;34;19;48;535;1389;2050;70;61;52;52;15;12;70;0;
31.5691;33;19;49;554;1423;2130;73;73;80;80;18;21;93;0;
