time;fps;minFps;maxFps;ram;vram;activeChunks;generateChunk;staticRenderRegion;staticRenderRegion2;chunkLoad;lightMapUpdate;lightMapUpdate2;gpuBlockIDMapUpdate;gcCollect
0;0;0;0;1;782;0;0;0;0;0;0;0;0;0;
2.01577;67;31;98;84;907;279;0;476;464;187;118;114;184;3;
3.02948;62;20;80;218;997;535;0;505;508;256;127;128;258;1;
4.04601;54;11;72;222;1046;806;0;478;484;271;119;121;265;2;
5.14795;46;7;70;356;1186;1142;0;418;420;336;105;105;340;1;
6.15302;55;40;65;576;1288;1439;0;491;488;297;123;122;298;0;
7.1697;35;6;63;627;1326;1727;0;317;313;288;79;79;291;1;
8.26355;49;4;63;540;1356;2002;0;468;467;275;117;116;236;1;
9.26357;43;8;61;825;1488;2303;0;367;376;301;92;95;341;0;
10.2639;53;43;59;670;1624;2619;0;489;481;316;122;120;317;0;
11.2679;30;3;62;924;1624;2619;0;0;0;0;0;0;0;1;
12.2862;52;24;62;1237;1750;3295;0;391;399;676;98;100;670;0;
13.3931;32;2;58;960;1780;3555;0;316;312;260;79;77;238;1;
14.4016;46;9;58;1230;1858;3832;0;440;440;277;110;110;300;0;
15.4127;50;41;59;1523;1988;4177;0;500;504;345;125;127;331;0;
16.4295;50;42;55;1721;2036;4489;0;504;504;312;126;125;331;0;
17.4331;50;45;55;1722;2036;4489;0;500;500;0;125;126;0;0;
18.434;49;41;53;1722;2036;4489;0;496;492;0;124;122;0;0;
19.4393;49;43;53;1723;2036;4489;0;493;492;0;123;123;0;0;
20.4403;48;41;52;1723;2036;4489;0;483;488;0;121;122;0;0;
21.445;48;42;52;1724;2036;4489;0;488;484;0;122;121;0;0;
22.4637;48;41;51;1725;2036;4489;0;485;484;0;121;121;0;0;
23.4694;47;41;52;1725;2036;4489;0;472;476;0;118;119;0;0;
24.4798;47;41;51;1726;2036;4489;0;471;468;0;118;117;0;0;
25.4821;46;38;50;1726;2036;4489;0;460;464;0;115;116;0;0;
26.6226;31;2;49;1144;2036;4489;0;316;308;0;79;77;0;1;
27.6291;36;7;49;1145;2036;4489;0;360;364;0;90;91;0;0;
28.6411;46;40;48;1145;2036;4489;0;464;468;0;116;117;0;0;
29.6414;42;10;48;1146;2036;4489;0;424;424;0;106;107;0;0;
30.6592;45;37;47;1146;2036;4489;0;460;460;0;115;114;0;0;
31.67;45;39;47;1147;2036;4489;0;460;460;0;115;115;0;0;
32.6927;45;39;47;1147;2036;4489;0;456;452;0;114;113;0;0;
33.6951;44;38;47;1148;2036;4489;0;448;452;0;112;113;0;0;
34.7132;44;39;47;1148;2036;4489;0;449;448;0;112;112;0;0;
35.7309;44;39;46;1149;2036;4489;0;443;444;0;111;112;0;0;
36.7391;43;38;46;1149;2036;4489;0;440;440;0;110;109;0;0;
37.7462;43;39;45;1150;2036;4489;0;436;432;0;109;108;0;0;
38.7565;40;36;43;1150;2036;4489;0;400;400;0;100;100;0;0;
39.7764;40;36;42;1150;2036;4489;0;400;400;0;100;100;0;0;
40.7938;43;38;44;1151;2036;4489;0;240;244;0;60;62;0;0;
41.8052;46;43;46;1151;2036;4489;0;0;0;0;0;0;0;0;
42.8186;46;43;46;1152;2036;4489;0;0;0;0;0;0;0;0;
43.8313;46;43;46;1152;2036;4489;0;0;0;0;0;0;0;0;
44.8388;46;44;46;1153;2036;4489;0;0;0;0;0;0;0;0;
45.8544;46;43;46;1153;2036;4489;0;0;0;0;0;0;0;0;
46.8636;46;43;46;1154;2036;4489;0;0;0;0;0;0;0;0;
47.8749;46;43;46;1154;2036;4489;0;0;0;0;0;0;0;0;
48.8812;46;43;46;1155;2036;4489;0;0;0;0;0;0;0;0;
