time;fps;minFps;maxFps;generateChunk;staticRenderRegion;staticRenderRegion2;chunkLoad;lightMapUpdate;lightMapUpdate2;gpuBlockIDMapUpdate;gcCollect
0;0;0;0;0;0;0;0;0;0;0;0
2.01652;47;7;100;0;475;497;854;119;124;945;3
3.03883;44;6;78;0;667;647;773;167;161;782;1
4.27977;42;3;75;0;155;156;807;38;39;713;2
5.63672;41;2;70;0;572;580;886;143;145;864;1
6.65868;40;9;64;0;557;562;797;139;141;927;0
7.67324;47;34;62;0;751;742;104;188;185;104;0
8.68991;46;32;61;0;742;740;0;186;185;0;0
9.7163;46;33;60;0;726;724;0;181;181;0;0
10.7214;44;32;57;0;704;704;0;176;176;0;0
11.7415;44;32;58;0;704;704;0;176;176;0;0
12.7511;43;30;54;0;690;709;0;173;178;0;0
13.7765;43;32;53;0;706;691;0;176;172;0;0
14.7861;42;32;53;0;680;676;0;170;169;0;0
15.815;42;31;52;0;680;680;0;170;170;0;0
16.8209;41;32;50;0;658;677;0;165;170;0;0
17.8257;40;31;50;0;644;643;0;161;160;0;0
18.832;40;31;49;0;656;657;0;164;165;0;0
19.8415;15;1;48;0;246;231;0;61;57;0;1
20.861;40;31;48;0;656;652;0;164;163;0;0
21.8882;40;30;48;0;648;648;0;162;162;0;0
22.902;39;30;47;0;622;640;0;156;160;0;0
23.9023;37;29;46;0;605;588;0;151;147;0;0
24.9155;34;26;42;0;547;548;0;137;137;0;0
25.9382;34;26;41;0;550;552;0;137;138;0;0
26.9541;36;28;44;0;584;584;0;146;146;0;0
27.9854;38;30;44;0;628;624;0;157;156;0;0
28.9966;38;31;44;0;612;612;0;153;153;0;0
30.0076;40;31;45;0;409;428;0;103;108;0;0
31.0203;43;39;44;0;0;0;0;0;0;0;0
32.0337;40;37;40;0;0;0;0;0;0;0;0
33.0463;42;39;43;0;0;0;0;0;0;0;0
34.0506;44;43;44;0;0;0;0;0;0;0;0
35.0688;44;40;44;0;0;0;0;0;0;0;0
36.0789;45;42;45;0;0;0;0;0;0;0;0
37.0924;46;44;46;0;0;0;0;0;0;0;0
38.1079;45;23;46;0;0;0;0;0;0;0;0
39.1087;45;43;45;0;0;0;0;0;0;0;0
40.144;40;27;43;0;217;200;67;54;49;67;0
41.1486;32;25;38;0;454;470;201;113;118;201;0
42.1544;33;26;40;0;542;524;183;135;130;160;0
43.1696;34;24;40;0;542;541;152;136;135;175;0
44.1985;14;1;40;0;212;215;200;51;52;200;1
45.2279;34;24;40;0;546;543;201;136;135;201;0
46.2351;34;28;41;0;544;546;156;137;138;134;0
47.2401;33;25;40;0;518;535;112;131;135;134;0
48.2613;33;25;41;0;532;516;201;133;129;201;0
49.2655;35;26;45;0;543;560;201;135;140;201;0
50.2864;39;30;49;0;641;641;183;160;160;145;0
51.3049;12;1;50;0;194;194;92;48;48;129;1
52.306;38;9;54;0;622;622;261;155;155;262;0
53.3205;42;31;54;0;687;687;176;173;173;138;0
54.3266;41;29;54;0;672;655;92;168;163;130;0
55.356;42;30;53;0;703;697;201;176;175;201;0
56.3682;40;30;51;0;648;652;201;162;163;201;0
57.3789;36;25;46;0;570;570;200;141;142;200;0
58.5025;18;1;46;0;293;290;175;74;72;40;1
59.5153;31;7;51;0;512;520;159;128;130;294;0
60.5355;41;29;51;0;702;695;201;176;174;201;0
61.5402;41;31;51;0;664;685;201;165;171;201;0
62.5428;40;29;51;0;654;636;117;164;159;94;0
63.5541;38;29;48;0;629;632;217;157;158;240;0
64.5754;35;26;44;0;553;568;134;139;143;134;0
65.6005;37;28;46;0;606;587;0;151;146;0;0
66.6301;10;1;46;0;160;160;0;40;40;0;1
67.6407;41;31;50;0;533;552;0;134;139;0;0
68.6458;50;47;51;0;0;0;0;0;0;0;0
69.647;48;45;49;0;0;0;0;0;0;0;0
70.6479;48;46;49;0;0;0;0;0;0;0;0
71.6626;50;47;49;0;0;0;0;0;0;0;0
